o,d,flow
44007000900,44007000900,120
44007002102,44007002102,120
44007002400,44007001200,120
44007002400,44007011600,120
44007002500,44007002500,120
44007003300,44007000600,120
44007003400,44007003500,120
44007010200,44007010101,120
44007011902,44007011902,120
44007012000,44007012200,120
44007012401,44007012200,120
44007012500,44007000800,120
44007013701,44007000800,120
44007013900,44007013900,120
44007014300,44007014000,120
44007014800,44007014800,120
44007016100,44007017000,120
44007018500,44007018400,120
44009050700,44009050902,120
44009051102,44009051202,120
25025010300,44007010502,115
44001030400,44007000600,115
44001030601,44001030500,115
44003020101,44007000800,115
44003020300,44003022100,115
44003020601,44003020101,115
44003020603,44003020800,115
44003021401,44007014200,115
44003021402,44003021402,115
44005040102,44005040600,115
44005040500,44005040302,115
44005040700,44005040800,115
44005041702,44005040400,115
44007000101,44003021100,115
44007001600,44007001200,115
44007001800,44007012401,115
44007003500,44007003700,115
44007010101,44007010600,115
44007010102,44007010300,115
44007010200,44007003602,115
44007010200,44007010300,115
44007011401,44007000800,115
44007011701,44007000800,115
44007011701,44007011200,115
44007011800,44007012000,115
44007011800,44007012602,115
44007011902,44007002600,115
44007012000,44007002500,115
44007012000,44007011600,115
44007012102,44007012102,115
44007012803,44007012601,115
44007013002,44007012701,115
44007013202,44007011600,115
44007013800,44007000800,115
44007014501,44007014200,115
44007014700,44007003300,115
44007014800,44007014600,115
44007015700,44007015900,115
44007015800,44007011600,115
44007017000,44007000800,115
44009050103,44003020903,115
44009050103,44003022100,115
44009050700,44003020800,115
44009051305,44009051400,115
44009051504,44003021100,115
25005645103,44001030602,110
44001030602,44007000800,110
44001030901,44001030602,110
44001030901,44007002300,110
44001030902,44001030901,110
44003020101,44003022100,110
44003020102,44007000800,110
44003020200,44003020800,110
44003020604,44003020603,110
44003020703,44003020800,110
44003020800,44007000600,110
44003020904,44003020901,110
44003021002,44003021100,110
44003021002,44003022300,110
44003021401,44003022100,110
44003021901,44003021901,110
44003022000,44003021100,110
44003022201,44003020903,110
44005040102,44005040101,110
44005040304,44005040302,110
44005040500,44005041100,110
44005040600,44005040900,110
44005040600,44005041100,110
44005041300,44005040600,110
44005041702,44005041701,110
44007001100,44007001100,110
44007001300,44007001300,110
44007001300,44007010102,110
44007002000,44007002000,110
44007003100,44007000800,110
44007003300,44007003500,110
44007003700,44007003601,110
44007010101,44007010300,110
44007010200,44007010502,110
44007010300,44007010400,110
44007010400,25005632200,110
44007010400,44007000800,110
44007010400,44007010502,110
44007010702,44007010300,110
44007011500,44007011403,110
44007011500,44007018500,110
44007011902,44007000800,110
